[2024-11-23 14:59:52.750] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":58}
[2024-11-23 14:59:52.751] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":58}
[2024-11-23 14:59:52.768] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":59}
[2024-11-23 14:59:52.769] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":59}
[2024-11-23 14:59:52.775] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":60}
[2024-11-23 14:59:52.776] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":60}
[2024-11-23 14:59:52.781] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":61}
[2024-11-23 14:59:52.782] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":61}
[2024-11-23 14:59:52.802] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":62}
[2024-11-23 14:59:52.803] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":62}
[2024-11-23 14:59:52.810] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":63}
[2024-11-23 14:59:52.811] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":63}
[2024-11-23 14:59:52.817] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2024-11-23 14:59:52.818] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2024-11-23 14:59:52.833] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":65}
[2024-11-23 14:59:52.834] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":65}
[2024-11-23 14:59:52.839] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":66}
[2024-11-23 14:59:52.840] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":66}
[2024-11-23 14:59:52.856] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":67}
[2024-11-23 14:59:52.857] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":67}
[2024-11-23 14:59:52.867] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2024-11-23 14:59:52.868] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2024-11-23 14:59:52.873] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":69}
[2024-11-23 14:59:52.874] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":69}
[2024-11-23 14:59:52.887] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":70}
[2024-11-23 14:59:52.888] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":70}
[2024-11-23 14:59:52.898] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":71}
[2024-11-23 14:59:52.898] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":71}
[2024-11-23 14:59:52.912] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":72}
[2024-11-23 14:59:52.913] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":72}
[2024-11-23 14:59:52.921] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":73}
[2024-11-23 14:59:52.921] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":73}
[2024-11-23 14:59:52.924] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":74}
[2024-11-23 14:59:52.925] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":74}
[2024-11-23 14:59:52.947] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":75}
[2024-11-23 14:59:52.947] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":75}
[2024-11-23 14:59:52.951] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":76}
[2024-11-23 14:59:52.952] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":76}
[2024-11-23 14:59:52.967] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":77}
[2024-11-23 14:59:52.968] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":77}
[2024-11-23 14:59:52.972] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":78}
[2024-11-23 14:59:52.973] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":78}
[2024-11-23 14:59:52.979] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":79}
[2024-11-23 14:59:52.980] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":79}
[2024-11-23 14:59:52.995] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":80}
[2024-11-23 14:59:52.995] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":80}
[2024-11-23 14:59:53.002] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":81}
[2024-11-23 14:59:53.003] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":81}
[2024-11-23 14:59:53.009] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":82}
[2024-11-23 14:59:53.010] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":82}
[2024-11-23 14:59:53.021] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":83}
[2024-11-23 14:59:53.021] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":83}
[2024-11-23 14:59:53.028] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":84}
[2024-11-23 14:59:53.029] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":84}
[2024-11-23 14:59:53.042] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":85}
[2024-11-23 14:59:53.042] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":85}
[2024-11-23 14:59:53.050] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":86}
[2024-11-23 14:59:53.051] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":86}
[2024-11-23 14:59:53.055] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":87}
[2024-11-23 14:59:53.056] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":87}
[2024-11-23 14:59:53.070] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":88}
[2024-11-23 14:59:53.071] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":88}
[2024-11-23 14:59:53.075] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":89}
[2024-11-23 14:59:53.076] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":89}
[2024-11-23 14:59:53.092] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":90}
[2024-11-23 14:59:53.092] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":90}
